president,political party,term,term_start,term_end
George Washington,Federalist,1789–1797,1789,1797
John Adams,Federalist,1797–1801,1797,1801
Thomas Jefferson,Democratic-Republican,1801–1809,1801,1809
James Madison,Democratic-Republican,1809–1817,1809,1817
James Monroe,Democratic-Republican,1817–1825,1817,1825
John Quincy Adams,National Republican,1825–1829,1825,1829
Andrew Jackson,Democratic,1829–1837,1829,1837
Martin Van Buren,Democratic,1837–1841,1837,1841
William Henry Harrison,Whig,1841,1841,
John Tyler,Whig,1841–1845,1841,1845
James K. Polk,Democratic,1845–1849,1845,1849
Zachary Taylor,Whig,1849–1850,1849,1850
Millard Fillmore,Whig,1850–1853,1850,1853
Franklin Pierce,Democratic,1853–1857,1853,1857
James Buchanan,Democratic,1857–1861,1857,1861
Abraham Lincoln,Republican,1861–1865,1861,1865
Andrew Johnson,Democratic (Union),1865–1869,1865,1869
Ulysses S. Grant,Republican,1869–1877,1869,1877
Rutherford B. Hayes,Republican,1877–1881,1877,1881
James A. Garfield,Republican,1881,1881,
Chester A. Arthur,Republican,1881–1885,1881,1885
Grover Cleveland,Democratic,1885–1889,1885,1889
Benjamin Harrison,Republican,1889–1893,1889,1893
Grover Cleveland,Democratic,1893–1897,1893,1897
William McKinley,Republican,1897–1901,1897,1901
Theodore Roosevelt,Republican,1901–1909,1901,1909
William Howard Taft,Republican,1909–1913,1909,1913
Woodrow Wilson,Democratic,1913–1921,1913,1921
Warren G. Harding,Republican,1921–1923,1921,1923
Calvin Coolidge,Republican,1923–1929,1923,1929
Herbert Hoover,Republican,1929–1933,1929,1933
Franklin D. Roosevelt,Democratic,1933–1945,1933,1945
Harry S. Truman,Democratic,1945–1953,1945,1953
Dwight D. Eisenhower,Republican,1953–1961,1953,1961
John F. Kennedy,Democratic,1961–1963,1961,1963
Lyndon B. Johnson,Democratic,1963–1969,1963,1969
Richard M. Nixon,Republican,1969–1974,1969,1974
Gerald R. Ford,Republican,1974–1977,1974,1977
Jimmy Carter,Democratic,1977–1981,1977,1981
Ronald Reagan,Republican,1981–1989,1981,1989
George Bush,Republican,1989–1993,1989,1993
Bill Clinton,Democratic,1993–2001,1993,2001
George W. Bush,Republican,2001–2009,2001,2009
Barack Obama,Democratic,2009–2017,2009,2017
Donald Trump,Republican,2017–2021,2017,2021
Joe Biden,Democratic,2021–2025,2021,2025
Donald Trump,Republican,2025,2025,
